Mobil;Tahun;Jarak;Tipe;Gearbox;BBM;CC;Warna;Kapasitas;Harga
Toyota;2022;21701;Double Cab Pick Up;Automatic;Diesel;2753;White;5;78850
Toyota;2022;8;Sedan;Automatic;Premium Unleaded/Electric;2487;White;5;46850
Nissan;2022;16931;Wagon;Automatic;Unleaded Petrol;2488;Black;5;48990
Subaru;2022;191;Coupe;Manual;Premium Unleaded Petrol;2387;Blue;4;46980
Mazda;2022;4692;Wagon;Automatic;Unleaded Petrol;2488;Grey;5;51990
Toyota;2022;300;Wagon;Automatic;Diesel;2755;Graphite;7;83500
Suzuki;2022;15;Hatchback;Automatic;Unleaded Petrol;1242;Black;5;26490
Hyundai;2022;1331;Wagon;Automatic;Unleaded Petrol;1591;Silver;5;27990
Toyota;2022;27;Sedan;Automatic;Premium Unleaded Petrol;2487;White;5;43888
Toyota;2022;4985;Wagon;Manual;Diesel;4461;Red;5;99880
Toyota;2022;6622;Wagon;Manual;Diesel;4461;White;2;98778
Toyota;2022;513;Wagon;Automatic;Diesel;2755;Graphite;7;81000
Toyota;2022;25;Van;Automatic;Diesel;2755;White;2;67888
Mazda;2022;10;Wagon;Automatic;Unleaded Petrol;2488;White;5;42440
Mazda;2022;10;Wagon;Automatic;Unleaded Petrol;1998;Grey;5;36760
Mazda;2022;10;Wagon;Automatic;Unleaded Petrol;2488;Grey;7;45770
Mazda;2022;10;Wagon;Automatic;Unleaded Petrol;2488;White;7;44975
Subaru;2022;4420;Wagon;Automatic;Unleaded Petrol;1995;Plasma;5;39999
Mazda;2022;10;Wagon;Automatic;Unleaded Petrol;2488;Red;5;48180
Mazda;2022;10;Wagon;Automatic;Unleaded Petrol;2488;Red;5;50180
Mazda;2022;6;Dual Cab Pick-up;Automatic;Diesel;2999;White;5;73288
Mazda;2022;7;Dual Cab Pick-up;Automatic;Diesel;2999;Grey;5;66988
Mazda;2022;6;Dual Cab Pick-up;Automatic;Diesel;2999;Grey;5;73688
Mazda;2022;10;Wagon;Automatic;Unleaded Petrol;1998;White;5;33383
Toyota;2022;99;Wagon;Automatic;Unleaded Petrol/Electric;1490;White;5;48490
Subaru;2022;1043;Sedan;Manual;Premium Unleaded Petrol;2387;Silver;5;52996
Toyota;2022;54;Wagon;Automatic;Unleaded Petrol/Electric;2487;White;5;58990
Toyota;2022;6;Double Cab Pick Up;Manual;Diesel;2753;Silver;5;66990
Toyota;2022;10;Wagon;Automatic;Unleaded Petrol/Electric;2487;White;5;56890
Toyota;2022;11;Sedan;Automatic;Premium Unleaded/Electric;2487;Silver;5;49888
